# Energy_meV Original Background Corrected FinalWeight
-2.757111797949239644e+02 5.006682389087218209e-10 nan nan nan
-2.747921425289408717e+02 5.211155209154957443e-10 nan nan nan
-2.738731052629577789e+02 5.383363471612156049e-10 nan nan nan
-2.729540679969747430e+02 5.564793481603786746e-10 nan nan nan
-2.720350307309916502e+02 5.817360229157844162e-10 nan nan nan
-2.711159934650086143e+02 5.905403874073372934e-10 nan nan nan
-2.701969561990254647e+02 6.084136972061964593e-10 nan nan nan
-2.692779189330424288e+02 6.350814192704658468e-10 nan nan nan
-2.683588816670593360e+02 6.598141985166834035e-10 nan nan nan
-2.674398444010762432e+02 6.927932574670635576e-10 nan nan nan
-2.665208071350931505e+02 7.215474570176692802e-10 nan nan nan
-2.656017698691100577e+02 7.446859988563629429e-10 nan nan nan
-2.646827326031270218e+02 7.495180685366990893e-10 nan nan nan
-2.637636953371439290e+02 7.689420617069990795e-10 nan nan nan
-2.628446580711608362e+02 7.962761514431264671e-10 nan nan nan
-2.619256208051777435e+02 8.276504836536924366e-10 nan nan nan
-2.610065835391947076e+02 8.624368393241998062e-10 nan nan nan
-2.600875462732116148e+02 8.939446746374623069e-10 nan nan nan
-2.591685090072285220e+02 9.204635243705792784e-10 nan nan nan
-2.582494717412454293e+02 9.633029997657454467e-10 nan nan nan
-2.573304344752623933e+02 9.906855767079991875e-10 nan nan nan
-2.564113972092793006e+02 1.027633621602633168e-09 nan nan nan
-2.554923599432962078e+02 1.048790305286233927e-09 nan nan nan
-2.545733226773131150e+02 1.080011912129632223e-09 nan nan nan
-2.536542854113300507e+02 1.115488486717871754e-09 nan nan nan
-2.527352481453469579e+02 1.148461876373139422e-09 nan nan nan
-2.518162108793638936e+02 1.186899675172451447e-09 nan nan nan
-2.508971736133808008e+02 1.241387000794670829e-09 nan nan nan
-2.499781363473977365e+02 1.267900054880266302e-09 nan nan nan
-2.490590990814146721e+02 1.330743377144588510e-09 nan nan nan
-2.481400618154315794e+02 1.364784521068639586e-09 nan nan nan
-2.472210245494484866e+02 1.424132783729335830e-09 nan nan nan
-2.463019872834653938e+02 1.469924873880375606e-09 nan nan nan
-2.453829500174823295e+02 1.551972920802530783e-09 nan nan nan
-2.444639127514992367e+02 1.635636764181009005e-09 nan nan nan
-2.435448754855161724e+02 1.674023800114159348e-09 nan nan nan
-2.426258382195330796e+02 1.683556636460447681e-09 nan nan nan
-2.417068009535500153e+02 1.789284246251114230e-09 nan nan nan
-2.407877636875669509e+02 1.842095683377372305e-09 nan nan nan
-2.398687264215838582e+02 1.906970977823321682e-09 nan nan nan
-2.389496891556007654e+02 1.994659229048020062e-09 nan nan nan
-2.380306518896176726e+02 2.077446982077004078e-09 nan nan nan
