# Energy_meV Original Background Corrected FinalWeight
-2.757111797949239644e+02 1.079225560004345698e-10 nan nan nan
-2.747921425289408717e+02 1.151599929700994068e-10 nan nan nan
-2.738731052629577789e+02 1.173593634561396205e-10 nan nan nan
-2.729540679969747430e+02 1.219553609283705425e-10 nan nan nan
-2.720350307309916502e+02 1.228700937875028589e-10 nan nan nan
-2.711159934650086143e+02 1.281637179972712482e-10 nan nan nan
-2.701969561990254647e+02 1.365159575484345979e-10 nan nan nan
-2.692779189330424288e+02 1.369278972725537436e-10 nan nan nan
-2.683588816670593360e+02 1.426756783333686679e-10 nan nan nan
-2.674398444010762432e+02 1.447855775791094031e-10 nan nan nan
-2.665208071350931505e+02 1.519521104761331408e-10 nan nan nan
-2.656017698691100577e+02 1.620531009131664555e-10 nan nan nan
-2.646827326031270218e+02 1.624440408044632241e-10 nan nan nan
-2.637636953371439290e+02 1.612616404608398814e-10 nan nan nan
-2.628446580711608362e+02 1.758412998533866159e-10 nan nan nan
-2.619256208051777435e+02 1.843178025709039554e-10 nan nan nan
-2.610065835391947076e+02 1.899540165362793040e-10 nan nan nan
-2.600875462732116148e+02 1.883026044459764589e-10 nan nan nan
-2.591685090072285220e+02 1.872949660180930937e-10 nan nan nan
-2.582494717412454293e+02 1.990899124003611116e-10 nan nan nan
-2.573304344752623933e+02 2.199066953187318751e-10 nan nan nan
-2.564113972092793006e+02 2.312670652031538770e-10 nan nan nan
-2.554923599432962078e+02 2.325401392309200972e-10 nan nan nan
-2.545733226773131150e+02 2.470074868738534690e-10 nan nan nan
-2.536542854113300507e+02 2.450611540904142131e-10 nan nan nan
-2.527352481453469579e+02 2.494671848199459830e-10 nan nan nan
-2.518162108793638936e+02 2.623774172968145095e-10 nan nan nan
-2.508971736133808008e+02 2.745779633792863415e-10 nan nan nan
-2.499781363473977365e+02 2.935104573518048276e-10 nan nan nan
-2.490590990814146721e+02 3.046421914087849805e-10 nan nan nan
-2.481400618154315794e+02 3.220209698421830067e-10 nan nan nan
-2.472210245494484866e+02 3.263962616787656556e-10 nan nan nan
-2.463019872834653938e+02 3.236461889890066199e-10 nan nan nan
-2.453829500174823295e+02 3.456034545519599073e-10 nan nan nan
-2.444639127514992367e+02 3.738959677213927693e-10 nan nan nan
-2.435448754855161724e+02 3.838914272430536153e-10 nan nan nan
-2.426258382195330796e+02 3.928666551471937890e-10 nan nan nan
-2.417068009535500153e+02 4.150181208236868915e-10 nan nan nan
-2.407877636875669509e+02 4.358948070717390700e-10 nan nan nan
-2.398687264215838582e+02 4.379516009104689793e-10 nan nan nan
-2.389496891556007654e+02 4.652392788497939186e-10 nan nan nan
-2.380306518896176726e+02 4.984636582169821233e-10 nan nan nan
-2.371116146236346083e+02 5.314980466073997542e-10 nan nan nan
-2.361925773576515155e+02 5.590335451848249826e-10 nan nan nan
-2.352735400916684512e+02 5.693029016802019160e-10 nan nan nan
-2.343545028256853868e+02 5.768610890689835163e-10 nan nan nan
-2.334354655597022941e+02 5.953613473355629618e-10 nan nan nan
-2.325164282937192297e+02 6.505834329292844862e-10 nan nan nan
-2.315973910277361369e+02 7.161498731496462022e-10 nan nan nan
-2.306783537617530442e+02 7.327588457187164355e-10 nan nan nan
-2.297593164957699514e+02 7.225013500032696932e-10 nan nan nan
-2.288402792297868871e+02 7.578749951166594633e-10 nan nan nan
-2.279212419638037943e+02 8.360332871740211181e-10 nan nan nan
-2.270022046978207300e+02 8.574263620175416179e-10 nan nan nan
-2.260831674318376656e+02 8.814843939073426717e-10 nan nan nan
-2.251641301658545729e+02 9.361612884359914642e-10 nan nan nan
-2.242450928998715085e+02 1.009250013509932736e-09 nan nan nan
-2.233260556338884157e+02 1.059830069127367416e-09 nan nan nan
-2.224070183679053230e+02 1.136121352215443023e-09 nan nan nan
-2.214879811019222302e+02 1.174507697275061302e-09 nan nan nan
-2.205689438359391659e+02 1.181100552670683462e-09 nan nan nan
-2.196499065699561015e+02 1.203055205277158260e-09 nan nan nan
-2.187308693039730088e+02 1.227122546034080468e-09 nan nan nan
-2.178118320379899444e+02 1.251521429856691576e-09 nan nan nan
-2.168927947720068516e+02 1.310746988427534494e-09 nan nan nan
-2.159737575060237873e+02 1.383189131455094562e-09 nan nan nan
-2.150547202400406945e+02 1.489103811824209913e-09 nan nan nan
-2.141356829740576018e+02 1.563715353488101757e-09 nan nan nan
-2.132166457080745090e+02 1.682019144826213453e-09 nan nan nan
-2.122976084420914447e+02 1.850298781129055891e-09 nan nan nan
-2.113785711761083803e+02 1.921749560496901881e-09 nan nan nan
-2.104595339101252875e+02 1.992930639468914085e-09 nan nan nan
-2.095404966441422232e+02 2.127892638242837548e-09 nan nan nan
-2.086214593781591304e+02 2.192320945563991703e-09 nan nan nan
-2.077024221121760661e+02 2.190092162127271071e-09 nan nan nan
-2.067833848461929733e+02 2.267775683906796355e-09 nan nan nan
-2.058643475802098806e+02 2.340209349530595606e-09 nan nan nan
-2.049453103142268162e+02 2.366514304221964231e-09 nan nan nan
-2.040262730482437235e+02 2.403321470169640746e-09 nan nan nan
-2.031072357822606591e+02 2.399436525284863495e-09 nan nan nan
-2.021881985162775663e+02 2.435050285536602517e-09 nan nan nan
-2.012691612502945020e+02 2.500315760160367199e-09 nan nan nan
-2.003501239843114092e+02 2.459763756295349609e-09 nan nan nan
-1.994310867183283449e+02 2.493817793055497500e-09 nan nan nan
-1.985120494523452521e+02 2.540419465312762570e-09 nan nan nan
-1.975930121863621878e+02 2.564533776628250026e-09 nan nan nan
-1.966739749203790950e+02 2.707377963840244541e-09 nan nan nan
-1.957549376543960022e+02 2.892973581192110792e-09 nan nan nan
-1.948359003884129379e+02 3.023788116711404776e-09 nan nan nan
-1.939168631224298451e+02 3.121416029989704969e-09 nan nan nan
-1.929978258564467808e+02 3.253411601194007432e-09 nan nan nan
-1.920787885904636880e+02 3.333420008782407609e-09 nan nan nan
-1.911597513244806237e+02 3.508921386539342365e-09 nan nan nan
-1.902407140584975593e+02 3.722857599344696936e-09 nan nan nan
-1.893216767925144666e+02 3.964891928604932662e-09 nan nan nan
-1.884026395265313738e+02 4.131618410014240738e-09 nan nan nan
-1.874836022605482810e+02 4.231319695616460705e-09 nan nan nan
-1.865645649945652167e+02 4.622425232676380282e-09 nan nan nan
-1.856455277285821239e+02 4.882377234518510610e-09 nan nan nan
-1.847264904625990596e+02 5.147714887739188278e-09 nan nan nan
-1.838074531966159668e+02 5.352028642865272490e-09 nan nan nan
-1.828884159306329025e+02 5.600170726823696606e-09 nan nan nan
-1.819693786646498381e+02 5.837945054948472938e-09 nan nan nan
-1.810503413986667454e+02 6.151040637338653754e-09 nan nan nan
-1.801313041326836526e+02 6.640749989347354914e-09 nan nan nan
-1.792122668667005598e+02 6.954206612747316739e-09 nan nan nan
-1.782932296007174955e+02 7.430499689236917611e-09 nan nan nan
-1.773741923347344027e+02 7.857244837030633465e-09 nan nan nan
-1.764551550687513384e+02 8.251271119345831460e-09 nan nan nan
-1.755361178027682740e+02 9.275231197900075872e-09 nan nan nan
-1.746170805367851813e+02 9.671658367736348759e-09 nan nan nan
-1.736980432708021169e+02 1.021482946740205388e-08 nan nan nan
-1.727790060048190242e+02 1.117090427489183629e-08 nan nan nan
-1.718599687388359314e+02 1.154699425082353085e-08 nan nan nan
-1.709409314728528386e+02 1.267112886163308133e-08 nan nan nan
-1.700218942068697743e+02 1.385738590064160946e-08 nan nan nan
-1.691028569408866815e+02 1.422489638534555252e-08 nan nan nan
-1.681838196749036172e+02 1.477558184250721700e-08 nan nan nan
-1.672647824089205528e+02 1.595996996107354444e-08 nan nan nan
-1.663457451429374601e+02 1.695797890362185028e-08 nan nan nan
-1.654267078769543957e+02 1.838132100864300909e-08 nan nan nan
-1.645076706109713029e+02 1.942821926561020005e-08 nan nan nan
-1.635886333449882102e+02 2.046513618574697530e-08 nan nan nan
-1.626695960790051174e+02 2.136540235083309474e-08 nan nan nan
-1.617505588130220531e+02 2.237361735528818417e-08 nan nan nan
-1.608315215470389887e+02 2.347444464259163735e-08 nan nan nan
-1.599124842810558960e+02 2.483169826983062373e-08 nan nan nan
-1.589934470150728316e+02 2.640931670884211587e-08 nan nan nan
-1.580744097490897389e+02 2.863804516162958212e-08 nan nan nan
-1.571553724831066745e+02 3.056493206258649112e-08 nan nan nan
-1.562363352171235817e+02 3.276199499836950877e-08 nan nan nan
-1.553172979511404890e+02 3.471936447935775426e-08 nan nan nan
-1.543982606851573962e+02 3.721373568517648174e-08 nan nan nan
-1.534792234191743319e+02 3.965594373648270641e-08 nan nan nan
-1.525601861531912675e+02 4.178675939979586006e-08 nan nan nan
-1.516411488872081748e+02 4.340249279175072501e-08 nan nan nan
-1.507221116212251104e+02 4.662362951844804058e-08 nan nan nan
-1.498030743552420176e+02 5.103880912296264133e-08 nan nan nan
-1.488840370892589533e+02 5.301553751977171391e-08 nan nan nan
-1.479649998232758605e+02 5.652857349925441002e-08 nan nan nan
-1.470459625572927962e+02 5.987088516998582794e-08 nan nan nan
-1.461269252913097034e+02 6.436427479461004621e-08 nan nan nan
-1.452078880253266107e+02 7.045244662665246202e-08 nan nan nan
-1.442888507593435463e+02 7.476423814265249472e-08 nan nan nan
-1.433698134933604535e+02 7.883090153654179508e-08 nan nan nan
-1.424507762273773892e+02 8.355169539902394492e-08 nan nan nan
-1.415317389613942964e+02 9.025830306074294347e-08 nan nan nan
-1.406127016954112321e+02 9.870840444900938197e-08 nan nan nan
-1.396936644294281678e+02 1.073843755296486177e-07 nan nan nan
-1.387746271634450750e+02 1.136088751389744740e-07 nan nan nan
-1.378555898974619822e+02 1.220734232852614628e-07 nan nan nan
-1.369365526314788895e+02 1.337249822502870149e-07 nan nan nan
-1.360175153654958251e+02 1.415676793023337341e-07 nan nan nan
-1.350984780995127323e+02 1.543888811867172020e-07 nan nan nan
-1.341794408335296680e+02 1.710993631172048578e-07 nan nan nan
-1.332604035675465752e+02 1.913262713060640057e-07 nan nan nan
-1.323413663015635109e+02 2.202334148234913378e-07 nan nan nan
-1.314223290355804181e+02 2.591504047216260906e-07 nan nan nan
-1.305032917695973538e+02 3.040764497082048726e-07 nan nan nan
-1.295842545036142610e+02 3.806267253396577428e-07 nan nan nan
-1.286652172376311967e+02 4.976745578825051475e-07 nan nan nan
-1.277461799716481039e+02 6.584298414121938196e-07 nan nan nan
-1.268271427056650253e+02 8.833372318434301271e-07 nan nan nan
-1.259081054396819468e+02 1.058920295451989665e-06 nan nan nan
-1.249890681736988682e+02 1.190271182767555769e-06 nan nan nan
-1.240700309077157897e+02 1.242525736825534126e-06 nan nan nan
-1.231509936417326969e+02 1.365773517163832139e-06 nan nan nan
-1.222319563757496184e+02 1.455527579642018645e-06 nan nan nan
-1.213129191097665398e+02 1.488806259018102984e-06 nan nan nan
-1.203938818437834755e+02 1.539041866912752157e-06 nan nan nan
-1.194748445778003827e+02 1.499246670632734749e-06 nan nan nan
-1.185558073118173041e+02 1.480218985018915913e-06 nan nan nan
-1.176367700458342256e+02 1.550876995533156980e-06 nan nan nan
-1.167177327798511470e+02 1.557238610077818373e-06 nan nan nan
