# Energy_meV Original Background Corrected FinalWeight
-2.757111797949239644e+02 1.944828806571794792e-10 nan nan nan
-2.747921425289408717e+02 2.020370165437584628e-10 nan nan nan
-2.738731052629577789e+02 1.947493345163255596e-10 nan nan nan
-2.729540679969747430e+02 2.096799125622075666e-10 nan nan nan
-2.720350307309916502e+02 2.237291570543073384e-10 nan nan nan
-2.711159934650086143e+02 2.117457419418391249e-10 nan nan nan
-2.701969561990254647e+02 2.328033054172743893e-10 nan nan nan
-2.692779189330424288e+02 2.344225285512837366e-10 nan nan nan
-2.683588816670593360e+02 2.414278807859159106e-10 nan nan nan
-2.674398444010762432e+02 2.500286798774500148e-10 nan nan nan
-2.665208071350931505e+02 2.683027552593158108e-10 nan nan nan
-2.656017698691100577e+02 2.751690143812539591e-10 nan nan nan
-2.646827326031270218e+02 2.878730391610042051e-10 nan nan nan
-2.637636953371439290e+02 2.823535640388926125e-10 nan nan nan
-2.628446580711608362e+02 3.006524854542003735e-10 nan nan nan
-2.619256208051777435e+02 3.207442458835650787e-10 nan nan nan
-2.610065835391947076e+02 3.316190045296855782e-10 nan nan nan
-2.600875462732116148e+02 3.574563226369434008e-10 nan nan nan
-2.591685090072285220e+02 3.768545219757527084e-10 nan nan nan
-2.582494717412454293e+02 3.512112779974781807e-10 nan nan nan
-2.573304344752623933e+02 3.787179017674507360e-10 nan nan nan
-2.564113972092793006e+02 4.036904196400477431e-10 nan nan nan
-2.554923599432962078e+02 3.764059839134549398e-10 nan nan nan
-2.545733226773131150e+02 4.144119300733607708e-10 nan nan nan
-2.536542854113300507e+02 4.238259347701087340e-10 nan nan nan
-2.527352481453469579e+02 4.352665062654704076e-10 nan nan nan
-2.518162108793638936e+02 4.588284504540554429e-10 nan nan nan
-2.508971736133808008e+02 4.923180392476073380e-10 nan nan nan
-2.499781363473977365e+02 4.887204302486504884e-10 nan nan nan
-2.490590990814146721e+02 4.952172566451954909e-10 nan nan nan
-2.481400618154315794e+02 5.316599950182304205e-10 nan nan nan
-2.472210245494484866e+02 5.534912461492024203e-10 nan nan nan
-2.463019872834653938e+02 5.675086509003438293e-10 nan nan nan
-2.453829500174823295e+02 5.759077009631586833e-10 nan nan nan
-2.444639127514992367e+02 5.649470477465264246e-10 nan nan nan
-2.435448754855161724e+02 5.989044752702160724e-10 nan nan nan
-2.426258382195330796e+02 6.324065456883120897e-10 nan nan nan
-2.417068009535500153e+02 6.875569324742057023e-10 nan nan nan
-2.407877636875669509e+02 7.234291440042059291e-10 nan nan nan
-2.398687264215838582e+02 7.345551305932697689e-10 nan nan nan
-2.389496891556007654e+02 7.363953006852211286e-10 nan nan nan
-2.380306518896176726e+02 8.220389658835942554e-10 nan nan nan
-2.371116146236346083e+02 8.723109553762246701e-10 nan nan nan
-2.361925773576515155e+02 8.351342734539052480e-10 nan nan nan
-2.352735400916684512e+02 9.338978801218173558e-10 nan nan nan
-2.343545028256853868e+02 9.875876805400146301e-10 nan nan nan
-2.334354655597022941e+02 9.802749123093310241e-10 nan nan nan
-2.325164282937192297e+02 9.891204754851740398e-10 nan nan nan
-2.315973910277361369e+02 1.075052744497613562e-09 nan nan nan
-2.306783537617530442e+02 1.165844300812717881e-09 nan nan nan
-2.297593164957699514e+02 1.219244943716496749e-09 nan nan nan
-2.288402792297868871e+02 1.176380301994175207e-09 nan nan nan
-2.279212419638037943e+02 1.206925598654846469e-09 nan nan nan
-2.270022046978207300e+02 1.275140638052604419e-09 nan nan nan
-2.260831674318376656e+02 1.279971572722712177e-09 nan nan nan
