lambda,joint_log_residual,joint_log_roughness,curvature,number_converged
100.0,-8.2185129866372,-9.91061384109016,nan,2
177.82794100389228,-8.146981417568657,-10.65150788268556,0.0755098317754788,2
316.22776601683796,-8.215350832731291,-11.974354867474355,0.011540535548391023,4
562.341325190349,-8.184830716159667,-12.064398340137975,21.348811274853002,4
1000.0,-8.137990504959184,-12.129241129766012,1.5768628836111211,3
1778.2794100389228,-8.143709455406261,-12.203275072461118,3.2631314505657723,3
3162.2776601683795,-8.021329058385286,-12.300346712955255,0.6482096679128653,3
5623.413251903491,-7.948528189007409,-12.816534646798385,0.9036232343824794,4
10000.0,-7.855376698624515,-13.511574134448697,0.7478257734370101,4
17782.794100389227,-6.5210064286118845,-12.474815368342767,0.3502024142997288,4
31622.776601683792,-6.363648533299193,-12.748658383763136,0.4415166759642593,3
56234.13251903491,-6.326790134310115,-13.86808058269706,0.28413901576752604,1
100000.0,-4.1460069491236995,-10.864800627209661,0.009928599255164892,2
177827.94100389228,-2.8898730032528044,-9.350091058289134,0.31056648783354635,0
316227.7660168379,-2.691231624419503,-9.45532028654635,11.182003156777384,4
562341.3251903491,-2.5312821596919797,-9.588821074520505,1.1307740035961398,4
1000000.0,-2.4065159473711617,-9.75983759597396,0.9898370967545489,2
1778279.410038923,-2.29481968828295,-9.984679203737723,0.7087508044946578,4
3162277.6601683795,-2.207474595049052,-10.331323828917675,2.0613938545308716,2
5623413.251903491,-2.168947028357214,-10.852149975287539,0.08651637859228503,4
10000000.0,-3.2657026939477474,-13.267947561716241,0.017131880508057033,3
17782794.100389227,-4.453370680133593,-15.921727857900109,0.0008462167174396551,2
31622776.60168379,-6.589082052406414,-19.942029490654413,0.0243031932534281,2
56234132.51903491,-6.894042767993556,-21.410617186077427,0.41525950609997303,3
100000000.0,-6.8940245806168585,-21.98631297029235,0.22938491009630652,3
177827941.00389227,-6.894004743838202,-22.561740097081124,0.0007996730491407437,3
316227766.01683795,-6.895042224430169,-23.141153834239503,0.001544761384275777,3
562341325.1903491,-6.895036608922502,-23.716719235478326,0.00021327751472625874,3
1000000000.0,-6.893992873405136,-24.288924554673088,0.000783797427760221,3
1778279410.0389228,-6.896350893608885,-24.870109944713903,0.000645213729403233,3
3162277660.1683793,-6.8939924180318055,-25.442136243336705,0.0010155108847051026,1
5623413251.903491,-6.898523245223246,-26.02604178732365,0.012172429407302376,3
10000000000.0,-6.895348913151576,-26.5953689878282,nan,2
